Country,Avg_Happiness,Avg_Extraversion
Finland,7.736,0.6262906997661449
Denmark,7.521,0.6714983713355049
Iceland,7.515,0.6584486373165619
Sweden,7.345,0.6506015779092702
Netherlands,7.306,0.6758037859133276
Costa Rica,7.274,0.6809777777777778
Norway,7.262,0.6576685570258349
Israel,7.234,0.6454368932038835
Luxembourg,7.122,0.6683333333333334
Mexico,6.979,0.6826428571428572
Australia,6.974,0.6724621794871795
New Zealand,6.952,0.6707093253968255
Switzerland,6.935,0.64963133640553
Belgium,6.91,0.6441176470588236
Ireland,6.889,0.6782582582582583
Lithuania,6.829,0.659632768361582
Austria,6.81,0.6496263079222719
Canada,6.803,0.6684556687157843
Slovenia,6.792,0.6483895131086141
Czechia,6.775,0.6320061728395061
United Arab Emirates,6.759,0.6828061224489796
Germany,6.753,0.6516023993144815
United Kingdom,6.728,0.6684466411951402
United States,6.724,0.6753183617479914
Belize,6.711,0.661923076923077
Poland,6.673,0.6295539334955393
Taiwan Province of China,6.669,0.6423521505376344
Uruguay,6.661,0.6728148148148148
Kuwait,6.629,0.6575641025641026
Serbia,6.606,0.6774161735700197
Saudi Arabia,6.6,0.6703061224489796
France,6.593,0.6528688524590164
Singapore,6.565,0.6467142857142857
Romania,6.563,0.6626574234546505
Brazil,6.494,0.6667070095814422
El Salvador,6.492,0.6426950354609928
Spain,6.466,0.6525739408473221
Estonia,6.417,0.6562081128747795
Italy,6.415,0.6628487518355359
Panama,6.407,0.6707936507936507
Argentina,6.397,0.6488510638297873
Kazakhstan,6.378,0.6941666666666667
Guatemala,6.362,0.7049242424242425
Chile,6.361,0.6504938271604939
Viet Nam,6.352,0.6609448818897637
Nicaragua,6.33,0.6474747474747475
Malta,6.316,0.6762654320987654
Thailand,6.222,0.6615800550429011
Slovakia,6.221,0.6238709677419355
Latvia,6.207,0.6635087719298245
Oman,6.197,0.6523529411764707
Uzbekistan,6.193,0.7070000000000001
Paraguay,6.172,0.7224242424242424
Japan,6.147,0.6401507537688442
Bosnia and Herzegovina,6.136,0.6872727272727273
Philippines,6.107,0.6737486602357985
Republic of Korea,6.038,0.6433258594917788
Bahrain,6.03,0.6852380952380953
Portugal,6.013,0.6388717948717949
Colombia,6.004,0.6948165869218501
Ecuador,5.965,0.6866666666666666
Honduras,5.964,0.6841666666666666
Malaysia,5.955,0.6474387120380535
Peru,5.947,0.6560244648318042
Russian Federation,5.945,0.6547905282331512
Cyprus,5.942,0.6726839826839827
China,5.921,0.6505173041894353
Hungary,5.915,0.6182945736434108
Croatia,5.87,0.6626384364820848
Jamaica,5.87,0.6586821705426357
Bolivia,5.868,0.6743434343434344
Kyrgyzstan,5.858,0.721111111111111
Mongolia,5.833,0.6546666666666666
Mauritius,5.832,0.6778888888888889
Republic of Moldova,5.819,0.6627777777777777
Greece,5.776,0.6645380296069423
Venezuela,5.683,0.6967195767195766
Indonesia,5.617,0.6561219195849546
Algeria,5.571,0.6655648148148148
Bulgaria,5.554,0.662784090909091
North Macedonia,5.503,0.6704761904761904
Armenia,5.494,0.647
Hong Kong SAR of China,5.491,0.6414666666666667
Albania,5.411,0.6644465528146744
Georgia,5.4,0.7075555555555556
Nepal,5.311,0.6797297297297297
Türkiye,5.262,0.6670959595959597
South Africa,5.213,0.6677777777777778
Mozambique,5.19,0.6911111111111111
Gabon,5.12,0.6308333333333336
Côte d’Ivoire,5.102,0.6726666666666665
Iran,5.093,0.6488319088319089
Congo,5.03,0.6766666666666669
Iraq,4.976,0.6917333333333333
Guinea,4.929,0.6033333333333334
Namibia,4.911,0.6318333333333332
Cameroon,4.887,0.6432051282051283
Nigeria,4.885,0.6752688172043011
Azerbaijan,4.875,0.6732624113475176
Senegal,4.856,0.6986666666666667
Pakistan,4.768,0.6652815315315315
Niger,4.725,0.7222222222222222
Ukraine,4.68,0.6726256983240223
Morocco,4.622,0.6716666666666667
Tunisia,4.552,0.6766666666666666
Mauritania,4.542,0.44
Kenya,4.51,0.6884074074074074
Uganda,4.461,0.6685833333333334
Gambia,4.423,0.5973333333333334
India,4.389,0.6731549923735775
Chad,4.384,0.6633333333333333
Burkina Faso,4.383,0.6572222222222223
Benin,4.357,0.6633333333333334
Somalia,4.347,0.6579166666666666
Mali,4.345,0.5366666666666665
Cambodia,4.341,0.689298245614035
Ghana,4.34,0.6435416666666668
Myanmar,4.321,0.6642592592592592
Togo,4.315,0.6525000000000001
Jordan,4.31,0.6573983739837398
Liberia,4.277,0.7544444444444446
Madagascar,4.157,0.6974999999999998
Zambia,3.912,0.7183333333333334
Ethiopia,3.898,0.6638271604938271
Sri Lanka,3.891,0.6554301075268818
Bangladesh,3.851,0.6683068783068784
Egypt,3.817,0.6760955710955712
Tanzania,3.8,0.6564285714285714
Eswatini,3.774,0.6591666666666668
Lesotho,3.757,0.6983333333333333
Comoros,3.754,0.7541666666666668
Yemen,3.561,0.6605555555555557
Botswana,3.438,0.6970000000000001
Zimbabwe,3.396,0.6942424242424242
Malawi,3.26,0.641111111111111
Lebanon,3.188,0.6684486373165618
Sierra Leone,2.998,0.6519999999999998
Afghanistan,1.364,0.6704647435897436
